x-value,Brief fear of Negative Evaluation,CAI Trait Dyadic Score,CAI Trait Full Score,CAI Trait Public Speaking Score,CAI Trait Small group Score,STAI Trait Score,CAI State Score,STAI State Score
pcm_RMSenergy_sma_amean,0.136463812020306,0.15266709690425198,0.017322489598286975,0.010100193556413208,0.03967231674901782,0.19165417669907983,0.1426966514964232,0.06566396584991196
pcm_fftMag_mfcc_sma[1]_amean,0.9036147536276524,0.7973281610192855,0.5496540754850985,0.7000300178685781,0.837746736757943,0.0009524404059656036,0.12667189536566184,0.02988066267287446
pcm_fftMag_mfcc_sma[2]_amean,0.9557449512622012,0.003104935045070699,8.873400698633968e-05,0.0005277350249588609,0.004208495569520238,0.0018439785654795534,0.8582916912260365,0.0004211965375907965
pcm_fftMag_mfcc_sma[3]_amean,0.28933222378488843,0.2456720195747602,0.2178730046012749,0.18883440378098795,0.8940817883613569,0.5009409897805523,0.9335184435210304,0.20355508016363466
pcm_fftMag_mfcc_sma[4]_amean,0.042946590318108595,0.16430744633449598,0.1783514137955272,0.38632135193712447,0.24553883686905903,0.9396908477038669,0.5952251992576459,0.8095672461585732
pcm_fftMag_mfcc_sma[5]_amean,0.45425219572422326,0.5233320618007171,0.3641699034748097,0.6813488974903323,0.7562586787621224,0.08319187618812661,0.8271753897907251,0.2920564528773527
pcm_fftMag_mfcc_sma[6]_amean,0.5155294662932688,0.47360342772102726,0.9443699679863995,0.0041728529747578754,0.5698844192990047,0.28902049084991743,0.4959719208095986,0.18045152086205984
pcm_fftMag_mfcc_sma[7]_amean,0.7128099553187666,0.14692287472110796,0.6914090056120282,0.760989993604975,0.1639994778115286,0.3882397560675128,0.6592558919326726,0.7580794890927516
pcm_fftMag_mfcc_sma[8]_amean,0.9032707417079083,0.25576309665666935,0.21689982309045977,0.42119560491081,0.4224103287469151,0.9454186718306667,0.6434896751839743,0.03147589543957888
pcm_fftMag_mfcc_sma[9]_amean,0.9042839828647296,0.9407479046778762,0.681168575934431,0.7371144875743401,0.7445828397423497,0.7334098019039847,0.7334811075394801,0.7179646891728284
pcm_fftMag_mfcc_sma[10]_amean,0.5904415059864406,0.6808854498608521,0.5661090191462288,0.8209691188761371,0.9457271184884041,0.21121349134762046,0.7368767153717535,0.8122149439158067
pcm_fftMag_mfcc_sma[11]_amean,0.9232804254189568,0.9512993003989292,0.9879314731106827,0.9383330354634722,0.715249458434807,0.6580955137940838,0.9116468860939485,0.8771537859529485
pcm_fftMag_mfcc_sma[12]_amean,0.9075458737562745,0.9439772166574222,0.8899114551704091,0.9138370983998679,0.8667824255435665,0.8311269585654677,0.9737513293451106,0.6516189669413774
pcm_zcr_sma_amean,0.4763013777997165,0.9400344308578361,0.8237906028799913,0.6570292842631205,0.7381825375619904,0.23717977009946864,0.6641996584539538,0.6757071670561026
voiceProb_sma_amean,0.10255364720287583,0.0039058641062529585,0.2670687925426698,0.23403321343036887,0.5907007405654379,0.6912956817353648,0.1627034060780205,0.06590596922640911
F0_sma_amean,0.23425974127491972,0.008645406867957752,0.24138619053198687,0.800479681833213,0.49839528120813203,0.9591965937789605,0.0691583724651609,0.013130014563924727
#pause,0.7163497525790138,0.7075334827063576,0.5675272566275142,0.5715635070914928,0.7233295880215749,0.4240131552957991,0.5288408122971111,0.1809468512733763
pause_frequency,0.9950890476112972,0.918487802032106,0.853105337631542,0.9286970796379234,0.9417104927701971,0.8828236413742243,0.9255814861294605,0.9613155952799568
pause_interval,0.22037439659978061,0.03475953428078073,0.45199157886242125,0.9309752109191219,0.9977574869598382,0.1377674534557048,0.15367293975576377,0.24256915375258756
mean,0.003030271621097672,0.02994543201926777,0.1783273746054924,0.1748036252465857,0.20279505018753735,0.13339279161185202,0.22437941652212814,0.06344399453004738
percent,0.9978114298790666,0.9953070722672464,0.9795896073531956,0.9556637818619922,0.8515784450275583,0.8377972868312058,0.9404633698614417,0.9106745434474941
jitterLocal_sma_amean,0.3830560413099944,0.3621063141818015,0.06737346240563427,0.08191938069578615,0.4616551347546679,0.027181106781896964,0.7328246753214556,0.591119218952117
jitterDDP_sma_amean,0.36669309939476713,0.3322062740809816,0.045580650869201315,0.05427622037017204,0.4070407929478025,0.02778958867472239,0.6397092924783522,0.6921928732694158
shimmerLocal_sma_amean,0.43921820194782935,0.017802135405350687,0.0012089678540923832,0.04121480151646476,0.3796293386184555,0.002456288056676751,0.5247834620006837,0.07854407813808438
EDA_PPT,0.9903447525209035,0.9477687762404714,0.9031026120515633,0.926369182955245,0.8786588390971208,0.7386309398104186,0.9764067256471871,0.8801069357380299
HR_PPT,0.0859407530043759,0.8061961945726642,0.907699465416824,0.7219770721511124,0.7857896677235914,0.5330966196361075,0.06555055052172537,0.6145539179338555
TEMP_PPT,0.00017491419435925674,0.6614407969353943,0.08447283645834128,0.054780708009356284,0.8158853578113325,0.37806551695565027,0.8949063759390381,0.6365211844345217
BVP_PPT,0.8954333064629323,0.886941628562122,0.8594994666819303,0.9298259362348333,0.9584237457365559,0.9038200857562806,0.9126526521266971,0.9372057730707157
ACC_PPT,0.8700212803994053,0.9854392342952434,0.9166507534265572,0.9694987622384618,0.9046378784184321,0.5580606283954332,0.798790406905468,0.9651439615100015
IBI_PPT,0.10035286494721986,0.06291223955293695,0.03808372394306743,0.10594140390188303,0.008237561709048819,0.028024996971394843,0.14732689821753966,0.11703838084323269
EDA_FREQ_PPT,0.6352262178769328,0.924350373242674,0.5495909543578883,0.5347541105609496,0.19616475404758765,0.8907367025329017,0.29533572688498055,0.6470130942845107
EDA_AMP_PPT,0.8608833540945698,0.9981606553258542,0.681197729945731,0.6460263189801602,0.5185806243580617,0.9269934329089498,0.9491806526340494,0.8681603861041522
